Timestamp_WIB,Flight_IATA,Flight_ICAO,Flight_Number,Airline_IATA,Airline_ICAO,Aircraft_Code,Registration_Number,Transponder_Hex,Airline_Country_Flag,Origin_IATA,Origin_ICAO,Origin_Terminal,Destination_IATA,Destination_ICAO,Destination_Terminal,Latitude,Longitude,Heading_Deg,Altitude_Meters,Altitude_Feet,Ground_Speed_KMH,Ground_Speed_Knots,Vertical_Speed_MS,Vertical_Speed_FPM,Flight_Phase,Is_Ground,Delayed_Minutes,ETA_Timestamp,Updated_Unix_Time,Status
2026-09-25 00:05:45,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-25 01:05:34,OD191,MXD191,191,OD,MXD,N/A,9M-LNV,7503DB,MY,KUL,WMKK,N/A,PER,YPPH,N/A,1.365685,101.505763,184.9,8188,26863.5,837,451.9,20,3937.0,Climbing (Takeoff),0,0,N/A,1790273128,en-route
2026-09-25 01:05:34,SQ478,SIA478,478,SQ,SIA,N/A,9V-SJD,76CD44,SG,SIN,WSSS,N/A,JNB,FAOR,N/A,-0.281762,100.993577,227.0,10169,33362.9,942,508.6,7,1378.0,Climbing (Takeoff),0,0,N/A,1790273080,en-route
2026-09-25 02:05:30,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-25 03:06:01,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-25 04:05:28,SQ479,SIA479,479,SQ,SIA,N/A,9V-SMA,76CDA1,SG,JNB,FAOR,N/A,SIN,WSSS,N/A,0.398128,101.888152,52.8,12653,41512.5,862,465.4,0,0,Cruising,0,0,N/A,1790283926,en-route
2026-09-25 05:05:31,SQ437,SIA437,437,SQ,SIA,N/A,9V-SHG,76CD07,SG,MLE,VRMM,N/A,SIN,WSSS,N/A,1.21538,100.793279,110.1,12631,41440.3,858,463.3,0,0,Cruising,0,0,N/A,1790287522,en-route
2026-09-25 06:05:31,NONE,NONE,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4608,101.4447,0,0,0,0,0,0,0,No Flights,0,0,N/A,0,no_flights
2026-09-25 07:05:27,QG810,CTV810,810,QG,CTV,N/A,PK-GLY,8A03B3,ID,KNO,WIMM,N/A,BDO,WICC,N/A,1.13666,101.324078,135.7,12036,39488.2,818,441.7,5,984.2,Climbing (Takeoff),0,0,N/A,1790294712,en-route
2026-09-25 07:05:27,IU170,SJV170,170,IU,SJV,N/A,PK-SAG,8A08DE,ID,KNO,WIMM,N/A,BDO,WICC,N/A,0.171765,101.955931,137.1,11404,37414.7,814,439.5,0,0.0,Cruising,0,0,N/A,1790294712,en-route
